stop_id,station_name,station_latitude,station_longitude,daily_passenger_volume,annual_passenger_count,year,train_line_name
19990,Hurstbridge,-37.63939817,145.1920169,300,98200,FY19-20,Hurstbridge
19991,Williamstown,-37.86775292,144.9053233,400,132850,FY19-20,Williamstown
19992,Williamstown Beach,-37.86398189,144.8944837,550,162050,FY19-20,Williamstown
19993,North Williamstown,-37.85733348,144.8890695,1000,289450,FY19-20,Williamstown
19994,Newport,-37.84271757,144.8835999,3450,1037400,FY19-20,"Werribee, Williamstown"
19995,Spotswood,-37.83063888,144.8859335,900,273300,FY19-20,"Werribee, Williamstown"
19996,Yarraville,-37.81585044,144.8899337,2600,785800,FY19-20,"Werribee, Williamstown"
19997,Seddon,-37.80900514,144.8956716,1300,379400,FY19-20,"Werribee, Williamstown"
15351,Sunbury,-37.57909097,144.7273188,2050,628800,FY19-20,Sunbury
15353,Diggers Rest,-37.62701651,144.7199224,650,185050,FY19-20,Sunbury
20000,Watergardens,-37.70112872,144.7741805,4350,1300950,FY19-20,Sunbury
20001,Keilor Plains,-37.72927934,144.7937381,2100,632200,FY19-20,Sunbury
20002,St Albans,-37.74486131,144.8000505,3100,963000,FY19-20,Sunbury
20003,Ginifer,-37.75751083,144.8095734,2150,659350,FY19-20,Sunbury
20004,Albion,-37.77765281,144.8247036,1800,537450,FY19-20,Sunbury
20005,Epping,-37.65238715,145.0301217,2350,690350,FY19-20,Mernda
20006,Lalor,-37.66585075,145.0171932,1650,477500,FY19-20,Mernda
20007,Thomastown,-37.68033809,145.0142789,2000,600300,FY19-20,Mernda
20008,Keon Park,-37.69487012,145.0118838,1000,313250,FY19-20,Mernda
20009,Ruthven,-37.70789754,145.0095166,1100,334100,FY19-20,Mernda
20010,Reservoir,-37.71688492,145.0069958,1700,517550,FY19-20,Mernda
20011,Regent,-37.72840277,145.0027726,1350,399650,FY19-20,Mernda
20012,Preston,-37.73867424,145.000522,2050,648650,FY19-20,Mernda
20013,Bell,-37.74556212,145.000155,1400,444100,FY19-20,Mernda
20014,Thornbury,-37.75505179,144.9985715,1700,544200,FY19-20,Mernda
