stop_id,station_name,station_latitude,station_longitude,daily_passenger_volume,annual_passenger_count,year
19995,Spotswood,-37.83063888,144.8859335,1050,354600,FY24-25
19996,Yarraville,-37.81585044,144.8899337,2600,820600,FY24-25
19997,Seddon,-37.80900514,144.8956716,1300,416600,FY24-25
20000,Watergardens,-37.70112872,144.7741805,4350,1295450,FY24-25
20001,Keilor Plains,-37.72927934,144.7937381,2000,599750,FY24-25
20002,St Albans,-37.74486131,144.8000505,3200,962650,FY24-25
20003,Ginifer,-37.75751083,144.8095734,2100,624500,FY24-25
20004,Albion,-37.77765281,144.8247036,1400,413900,FY24-25
20005,Epping,-37.65238715,145.0301217,2450,748150,FY24-25
20006,Lalor,-37.66585075,145.0171932,1600,494550,FY24-25
20007,Thomastown,-37.68033809,145.0142789,1900,595700,FY24-25
20008,Keon Park,-37.69487012,145.0118838,950,293800,FY24-25
20009,Ruthven,-37.70789754,145.0095166,900,289350,FY24-25
20010,Reservoir,-37.71688492,145.0069958,2400,757800,FY24-25
20011,Regent,-37.72840277,145.0027726,1250,382700,FY24-25
20012,Preston,-37.73867424,145.000522,1800,581250,FY24-25
20013,Bell,-37.74556212,145.000155,1300,412250,FY24-25
20014,Thornbury,-37.75505179,144.9985715,1200,376150,FY24-25
20015,Croxton,-37.764101,144.9970562,750,244250,FY24-25
20016,Northcote,-37.76986537,144.9952772,950,293050,FY24-25
20017,Merri,-37.77784668,144.9929725,450,147850,FY24-25
20019,Rushall,-37.78321711,144.9924071,400,123150,FY24-25
20021,Sunshine,-37.78853633,144.8328782,5100,1577600,FY24-25
20022,Tottenham,-37.7992509,144.8629449,1350,394350,FY24-25
20023,West Footscray,-37.8018087,144.8853248,1800,512550,FY24-25
20024,Middle Footscray,-37.8025047,144.8914721,650,190800,FY24-25
20025,Footscray,-37.80108298,144.9031992,14000,4383950,FY24-25
20026,South Kensington,-37.79953087,144.925469,1050,324400,FY24-25
20027,Flemington Racecourse,-37.78720192,144.9075887,200,145550,FY24-25
20028,Showgrounds,-37.7835,144.915,200,114900,FY24-25
20030,Broadmeadows,-37.68304926,144.9196132,2750,878300,FY24-25
20031,Jacana,-37.69513079,144.9158505,650,213150,FY24-25
20032,Glenroy,-37.70453633,144.9172204,2350,740900,FY24-25
20033,Oak Park,-37.71794973,144.9215188,1350,418000,FY24-25
20034,Pascoe Vale,-37.73075596,144.9281956,1750,538950,FY24-25
20035,Strathmore,-37.74359132,144.9273157,1000,303300,FY24-25
20036,Glenbervie,-37.74720985,144.9209387,900,272200,FY24-25
20037,Essendon,-37.7560117,144.9161975,4350,1347950,FY24-25
20038,Moonee Ponds,-37.76570666,144.9191607,2450,782550,FY24-25
20039,Ascot Vale,-37.77530609,144.9218207,1600,491400,FY24-25
20040,Newmarket,-37.78732767,144.9289785,1900,600650,FY24-25
20041,Kensington,-37.79378022,144.9305244,1350,421500,FY24-25
20042,Box Hill,-37.81922165,145.1214289,8350,2648350,FY24-25
22180,Southern Cross,-37.81793643,144.9514112,47600,14696050,FY24-25
40220,Roxburgh Park,-37.63823121,144.9354037,1650,498650,FY24-25
40221,Craigieburn,-37.6018169,144.9433203,4800,1508250,FY24-25
44817,Coolaroo,-37.66100253,144.9260556,950,281400,FY24-25
45793,Lynbrook,-38.05734118,145.2492751,1400,407450,FY24-25
45794,Cardinia Road,-38.07129047,145.437791,1350,405950,FY24-25
45795,South Morang,-37.6491588,145.0670324,1800,569650,FY24-25
46468,Williams Landing,-37.86986533,144.7474447,4800,1389550,FY24-25
49343,Union,-37.823477,145.1000368,1900,593100,FY24-25
49458,East Pakenham,-38.084284,145.506311,150,54500,FY24-25
52095,Southland,-37.958758,145.049124,1350,479000,FY24-25
52159,Middle Gorge,-37.644062,145.09214,750,222950,FY24-25
52160,Hawkstowe,-37.622992,145.097396,700,208500,FY24-25
52161,Mernda,-37.602549,145.100883,2150,662700,FY24-25
